SERVICE_NAME,BADCODE,CODE,PRICE,CURRENCY
International,1204,+100,2.14,RUR
International,1204,+1204,2.14,RUR
International,1226,+1226,2.14,RUR
International,1242,+1242,6.14,RUR
International,1242357,+1242357,6.14,RUR
International,1242359,+1242359,6.14,RUR
International,1242375,+1242375,6.14,RUR
International,1242395,+1242395,6.14,RUR
International,1242422,+1242422,6.14,RUR
International,1242423,+1242423,6.14,RUR
International,1242424,+1242424,6.14,RUR
International,1242425,+1242425,6.14,RUR
International,1242426,+1242426,6.14,RUR
International,1242427,+1242427,6.14,RUR
International,1242428,+1242428,6.14,RUR
International,1242429,+1242429,6.14,RUR
International,1242431,+1242431,6.14,RUR
International,1242432,+1242432,6.14,RUR
International,1242433,+1242433,6.14,RUR
International,1242434,+1242434,6.14,RUR
International,1242436,+1242436,6.14,RUR
International,1242439,+1242439,6.14,RUR
International,1242441,+1242441,6.14,RUR
International,1242442,+1242442,6.14,RUR
International,1242443,+1242443,6.14,RUR
International,1242445,+1242445,6.14,RUR
International,1242446,+1242446,6.14,RUR
International,1242447,+1242447,6.14,RUR
International,1242448,+1242448,6.14,RUR
International,1242449,+1242449,6.14,RUR
International,1242451,+1242451,6.14,RUR
International,1242452,+1242452,6.14,RUR
International,1242453,+1242453,6.14,RUR
International,1242454,+1242454,6.14,RUR
International,1242455,+1242455,6.14,RUR
International,1242456,+1242456,6.14,RUR
International,1242457,+1242457,6.14,RUR
International,1242458,+1242458,6.14,RUR
International,1242462,+1242462,6.14,RUR
International,1242463,+1242463,6.14,RUR
International,1242464,+1242464,6.14,RUR
International,1242465,+1242465,6.14,RUR
International,1242466,+1242466,6.14,RUR
International,1242467,+1242467,6.14,RUR
International,1242468,+1242468,6.14,RUR
International,124247,+124247,6.14,RUR
International,1242481,+1242481,6.14,RUR
International,1242524,+1242524,6.14,RUR
International,1242525,+1242525,6.14,RUR
International,1242533,+1242533,6.14,RUR
International,1242535,+1242535,6.14,RUR
International,1242544,+1242544,6.14,RUR
International,1242551,+1242551,6.14,RUR
International,1242552,+1242552,6.14,RUR
International,1242553,+1242553,6.14,RUR
International,1242554,+1242554,6.14,RUR
International,1242556,+1242556,6.14,RUR
International,1242557,+1242557,6.14,RUR
International,1242558,+1242558,6.14,RUR
International,1242559,+1242559,6.14,RUR
International,1242565,+1242565,6.14,RUR
International,1242577,+1242577,6.14,RUR
International,1242636,+1242636,6.14,RUR
International,1242646,+1242646,6.14,RUR
International,1242727,+1242727,6.14,RUR
International,1246250,+1246250,6.14,RUR
International,1246251,+1246251,6.14,RUR
International,1246252,+1246252,6.14,RUR
International,1246253,+1246253,6.14,RUR
International,1246254,+1246254,6.14,RUR
International,1246255,+1246255,6.14,RUR
International,1246256,+1246256,6.14,RUR
International,1246257,+1246257,6.14,RUR
International,1246258,+1246258,6.14,RUR
International,1246259,+1246259,6.14,RUR
International,1246440,+1246440,6.14,RUR
International,1246441,+1246441,6.14,RUR
International,1246442,+1246442,6.14,RUR
International,1246443,+1246443,6.14,RUR
International,1246444,+1246444,6.14,RUR
International,1246445,+1246445,6.14,RUR
International,1246446,+1246446,6.14,RUR
International,1246447,+1246447,6.14,RUR
International,1246448,+1246448,6.14,RUR
International,1246449,+1246449,6.14,RUR
International,1246530,+1246530,6.14,RUR
International,1246531,+1246531,6.14,RUR
International,1246532,+1246532,6.14,RUR
International,1246533,+1246533,6.14,RUR
International,1246534,+1246534,6.14,RUR
International,1246535,+1246535,6.14,RUR
International,1246536,+1246536,6.14,RUR
International,1246537,+1246537,6.14,RUR
International,1246538,+1246538,6.14,RUR
International,1246539,+1246539,6.14,RUR
International,124683,+124683,6.14,RUR
International,1250,+1250,2.14,RUR
International,1264230,+1264230,6.14,RUR
International,1264231,+1264231,6.14,RUR
International,1264232,+1264232,6.14,RUR
International,1264233,+1264233,6.14,RUR
International,1264234,+1264234,6.14,RUR
International,1264235,+1264235,6.14,RUR
International,1264236,+1264236,6.14,RUR
International,1264237,+1264237,6.14,RUR
International,1264238,+1264238,6.14,RUR
International,1264239,+1264239,6.14,RUR
International,1264369,+1264369,6.14,RUR
