CODE,PRICE,CURRENCY
1,4.5000,RUR
1204,4.5000,RUR
1226,4.5000,RUR
1242,9.1300,RUR
1242357,9.1300,RUR
1242359,9.1300,RUR
1242375,9.1300,RUR
1242395,9.1300,RUR
1242422,9.1300,RUR
1242423,9.1300,RUR
1242424,9.1300,RUR
1242425,9.1300,RUR
1242426,9.1300,RUR
1242427,9.1300,RUR
1242428,9.1300,RUR
1242429,9.1300,RUR
1242431,9.1300,RUR
1242432,9.1300,RUR
1242433,9.1300,RUR
1242434,9.1300,RUR
1242436,9.1300,RUR
1242439,9.1300,RUR
1242441,9.1300,RUR
1242442,9.1300,RUR
1242443,9.1300,RUR
1242445,9.1300,RUR
1242446,9.1300,RUR
1242447,9.1300,RUR
1242448,9.1300,RUR
1242449,9.1300,RUR
1242451,9.1300,RUR
1242452,9.1300,RUR
1242453,9.1300,RUR
1242454,9.1300,RUR
1242455,9.1300,RUR
1242456,9.1300,RUR
1242457,9.1300,RUR
1242458,9.1300,RUR
1242462,9.1300,RUR
1242463,9.1300,RUR
1242464,9.1300,RUR
1242465,9.1300,RUR
1242466,9.1300,RUR
1242467,9.1300,RUR
1242468,9.1300,RUR
124247,9.1300,RUR
1242481,9.1300,RUR
1242524,9.1300,RUR
1242525,9.1300,RUR
1242533,9.1300,RUR
1242535,9.1300,RUR
1242544,9.1300,RUR
1242551,9.1300,RUR
1242552,9.1300,RUR
1242553,9.1300,RUR
1242554,9.1300,RUR
1242556,9.1300,RUR
1242557,9.1300,RUR
1242558,9.1300,RUR
1242559,9.1300,RUR
1242565,9.1300,RUR
1242577,9.1300,RUR
1242636,9.1300,RUR
1242646,9.1300,RUR
1242727,9.1300,RUR
1246250,9.1300,RUR
1246251,9.1300,RUR
1246252,9.1300,RUR
1246253,9.1300,RUR
1246254,9.1300,RUR
1246255,9.1300,RUR
1246256,9.1300,RUR
1246257,9.1300,RUR
1246258,9.1300,RUR
1246259,9.1300,RUR
1246440,9.1300,RUR
1246441,9.1300,RUR
1246442,9.1300,RUR
1246443,9.1300,RUR
1246444,9.1300,RUR
1246445,9.1300,RUR
1246446,9.1300,RUR
1246447,9.1300,RUR
1246448,9.1300,RUR
1246449,9.1300,RUR
1246530,9.1300,RUR
1246531,9.1300,RUR
1246532,9.1300,RUR
1246533,9.1300,RUR
1246534,9.1300,RUR
1246535,9.1300,RUR
1246536,9.1300,RUR
1246537,9.1300,RUR
1246538,9.1300,RUR
1246539,9.1300,RUR
124683,9.1300,RUR
1250,4.5000,RUR
1264230,9.1300,RUR
1264231,9.1300,RUR
1264232,9.1300,RUR
1264233,9.1300,RUR
1264234,9.1300,RUR
1264235,9.1300,RUR
1264236,9.1300,RUR
1264237,9.1300,RUR
1264238,9.1300,RUR
1264239,9.1300,RUR
1264369,9.1300,RUR
126437,9.1300,RUR
126438,9.1300,RUR
126439,9.1300,RUR
126440,9.1300,RUR
126441,9.1300,RUR
126442,9.1300,RUR
126443,9.1300,RUR
126444,9.1300,RUR
126445,9.1300,RUR
1264460,9.1300,RUR
1264461,9.1300,RUR
1264462,9.1300,RUR
1264463,9.1300,RUR
1264464,9.1300,RUR
1264465,9.1300,RUR
1264466,9.1300,RUR
1264467,9.1300,RUR
1264468,9.1300,RUR
1264469,9.1300,RUR
1264470,9.1300,RUR
1264471,9.1300,RUR
1264472,9.1300,RUR
1264473,9.1300,RUR
1264474,9.1300,RUR
1264475,9.1300,RUR
1264476,9.1300,RUR
1264477,9.1300,RUR
1264478,9.1300,RUR
1264479,9.1300,RUR
1264530,9.1300,RUR
1264531,9.1300,RUR
1264532,9.1300,RUR
1264533,9.1300,RUR
1264534,9.1300,RUR
1264535,9.1300,RUR
1264536,9.1300,RUR
1264537,9.1300,RUR
1264538,9.1300,RUR
1264539,9.1300,RUR
1264540,9.1300,RUR
1264541,9.1300,RUR
1264542,9.1300,RUR
1264543,9.1300,RUR
1264544,9.1300,RUR
1264545,9.1300,RUR
1264546,9.1300,RUR
1264547,9.1300,RUR
1264548,9.1300,RUR
1264549,9.1300,RUR
1264580,9.1300,RUR
1264581,9.1300,RUR
1264582,9.1300,RUR
1264583,9.1300,RUR
1264584,9.1300,RUR
1264585,9.1300,RUR
1264586,9.1300,RUR
1264587,9.1300,RUR
1264588,9.1300,RUR
1264589,9.1300,RUR
1264720,9.1300,RUR
1264721,9.1300,RUR
1264722,9.1300,RUR
1264723,9.1300,RUR
1264724,9.1300,RUR
1264725,9.1300,RUR
1264726,9.1300,RUR
1264727,9.1300,RUR
1264728,9.1300,RUR
1264729,9.1300,RUR
1264770,9.1300,RUR
1264771,9.1300,RUR
1264772,9.1300,RUR
1264773,9.1300,RUR
1264774,9.1300,RUR
1264775,9.1300,RUR
1264776,9.1300,RUR
1264777,9.1300,RUR
1264778,9.1300,RUR
1264779,9.1300,RUR
1268268,9.1300,RUR
1268464,9.1300,RUR
1268555,9.1300,RUR
126872,9.1300,RUR
1268720,9.1300,RUR
1268721,9.1300,RUR
1268722,9.1300,RUR
1268723,9.1300,RUR
1268724,9.1300,RUR
