CODE,CNT
1201,USA
1202,USA
1203,USA
1204,Canada
1205,USA
1206,USA
1207,USA
1208,USA
1209,USA
1210,USA
1212,USA
1213,USA
1214,USA
1215,USA
1216,USA
1217,USA
1218,USA
1219,USA
1220,USA
1224,USA
1225,USA
1226,Canada
1226439,Canada
1228,USA
1229,USA
1231,USA
1234,USA
1236,Canada
1239,USA
1240,USA
1242,Bahamas
1242357,Bahamas Mobile
1242359,Bahamas Mobile
1242375,Bahamas Mobile
1242376,Bahamas Mobile
1242395,Bahamas Mobile
1242421,Bahamas Mobile
1242422,Bahamas Mobile
1242423,Bahamas Mobile
1242424,Bahamas Mobile
1242425,Bahamas Mobile
1242426,Bahamas Mobile
1242427,Bahamas Mobile
1242428,Bahamas Mobile
1242429,Bahamas Mobile
1242431,Bahamas Mobile
1242432,Bahamas Mobile
1242433,Bahamas Mobile
1242434,Bahamas Mobile
1242435,Bahamas Mobile
1242436,Bahamas Mobile
1242437,Bahamas Mobile
1242438,Bahamas Mobile
1242439,Bahamas Mobile
1242441,Bahamas Mobile
1242442,Bahamas Mobile
1242443,Bahamas Mobile
1242445,Bahamas Mobile
1242446,Bahamas Mobile
1242447,Bahamas Mobile
1242448,Bahamas Mobile
1242449,Bahamas Mobile
1242451,Bahamas Mobile
1242452,Bahamas Mobile
1242453,Bahamas Mobile
1242454,Bahamas Mobile
1242455,Bahamas Mobile
1242456,Bahamas Mobile
1242457,Bahamas Mobile
1242458,Bahamas Mobile
1242462,Bahamas Mobile
1242463,Bahamas Mobile
1242464,Bahamas Mobile
1242465,Bahamas Mobile
1242466,Bahamas Mobile
1242467,Bahamas Mobile
1242468,Bahamas Mobile
124247,Bahamas Mobile
1242481,Bahamas Mobile
1242524,Bahamas Mobile
1242525,Bahamas Mobile
1242533,Bahamas Mobile
1242535,Bahamas Mobile
1242544,Bahamas Mobile
1242551,Bahamas Mobile
1242552,Bahamas Mobile
1242553,Bahamas Mobile
1242554,Bahamas Mobile
1242556,Bahamas Mobile
1242557,Bahamas Mobile
1242558,Bahamas Mobile
1242559,Bahamas Mobile
1242565,Bahamas Mobile
1242577,Bahamas Mobile
1242636,Bahamas Mobile
1242646,Bahamas Mobile
1242727,Bahamas Mobile
1242738,Bahamas Mobile
1242801,Bahamas Mobile
1242802,Bahamas Mobile
1242803,Bahamas Mobile
1242804,Bahamas Mobile
1242805,Bahamas Mobile
1242806,Bahamas Mobile
1242807,Bahamas Mobile
1242808,Bahamas Mobile
1242809,Bahamas Mobile
1242810,Bahamas Mobile
1242812,Bahamas Mobile
1242813,Bahamas Mobile
1242814,Bahamas Mobile
1242815,Bahamas Mobile
1242816,Bahamas Mobile
1242817,Bahamas Mobile
1242818,Bahamas Mobile
1242819,Bahamas Mobile
124282,Bahamas Mobile
1246,Barbados
124623,Barbados Mobile
124624,Barbados Mobile
124625,Barbados Mobile
124626,Barbados Mobile
124628,Barbados Mobile
124645,Barbados Mobile
124652,Barbados Mobile
1246530,Barbados Mobile
1246531,Barbados Mobile
1246532,Barbados Mobile
1246533,Barbados Mobile
1246534,Barbados Mobile
1246695,Barbados Mobile
1246696,Barbados Mobile
1246697,Barbados Mobile
1246776,Barbados Mobile
1246777,Barbados Mobile
124682,Barbados Mobile
124683,Barbados Mobile
124684,Barbados Mobile
124685,Barbados Mobile
1248,USA
1249,Canada
1250,Canada
1250232,Canada
1250233,Canada
1250234,Canada
1250235,Canada
1250236,Canada
1250237,Canada
1250239,Canada
1250321,Canada
1250369,Canada
1250447,Canada
1250471,Canada
1250500,Canada
1250771,Canada
1250772,Canada
1250773,Canada
1250774,Canada
1250775,Canada
1250776,Canada
1250778,Canada
1250779,Canada
1251,USA
1252,USA
1253,USA
1254,USA
1256,USA
1260,USA
1262,USA
1264,Anguilla
1264235,Anguilla Mobile
1264469,Anguilla Mobile
1264476,Anguilla Mobile
1264536,Anguilla Mobile
1264537,Anguilla Mobile
1264538,Anguilla Mobile
1264539,Anguilla Mobile
1264543,Anguilla Mobile
1264581,Anguilla Mobile
1264582,Anguilla Mobile
1264583,Anguilla Mobile
1264584,Anguilla Mobile
1264729,Anguilla Mobile
1264772,Anguilla Mobile
1267,USA
1268,Antigua and Barbuda
1268464,Antigua and Barbuda Mobile
1268713,Antigua and Barbuda Mobile
1268714,Antigua and Barbuda Mobile
1268715,Antigua and Barbuda Mobile
1268716,Antigua and Barbuda Mobile
1268717,Antigua and Barbuda Mobile
1268718,Antigua and Barbuda Mobile
1268719,Antigua and Barbuda Mobile
126872,Antigua and Barbuda Mobile
1268732,Antigua and Barbuda Mobile
1268734,Antigua and Barbuda Mobile
1268736,Antigua and Barbuda Mobile
1268762,Antigua and Barbuda Mobile
1268764,Antigua and Barbuda Mobile
1268770,Antigua and Barbuda Mobile
