CODE,CNT,PRICE,CURRENCY
CODE,CNT,PRICE,CURRENCY
1204,Canada,4.5000,RUR
1226,Canada,4.5000,RUR
1242,Bahamas,9.1300,RUR
1242357,Bahamas Mobile,9.1300,RUR
1242359,Bahamas Mobile,9.1300,RUR
1242375,Bahamas Mobile,9.1300,RUR
1242395,Bahamas Mobile,9.1300,RUR
1242422,Bahamas Mobile,9.1300,RUR
1242423,Bahamas Mobile,9.1300,RUR
1242424,Bahamas Mobile,9.1300,RUR
1242425,Bahamas Mobile,9.1300,RUR
1242426,Bahamas Mobile,9.1300,RUR
1242427,Bahamas Mobile,9.1300,RUR
1242428,Bahamas Mobile,9.1300,RUR
1242429,Bahamas Mobile,9.1300,RUR
1242431,Bahamas Mobile,9.1300,RUR
1242432,Bahamas Mobile,9.1300,RUR
1242433,Bahamas Mobile,9.1300,RUR
1242434,Bahamas Mobile,9.1300,RUR
1242436,Bahamas Mobile,9.1300,RUR
1242439,Bahamas Mobile,9.1300,RUR
1242441,Bahamas Mobile,9.1300,RUR
1242442,Bahamas Mobile,9.1300,RUR
1242443,Bahamas Mobile,9.1300,RUR
1242445,Bahamas Mobile,9.1300,RUR
1242446,Bahamas Mobile,9.1300,RUR
1242447,Bahamas Mobile,9.1300,RUR
1242448,Bahamas Mobile,9.1300,RUR
1242449,Bahamas Mobile,9.1300,RUR
1242451,Bahamas Mobile,9.1300,RUR
1242452,Bahamas Mobile,9.1300,RUR
1242453,Bahamas Mobile,9.1300,RUR
1242454,Bahamas Mobile,9.1300,RUR
1242455,Bahamas Mobile,9.1300,RUR
1242456,Bahamas Mobile,9.1300,RUR
1242457,Bahamas Mobile,9.1300,RUR
1242458,Bahamas Mobile,9.1300,RUR
1242462,Bahamas Mobile,9.1300,RUR
1242463,Bahamas Mobile,9.1300,RUR
1242464,Bahamas Mobile,9.1300,RUR
1242465,Bahamas Mobile,9.1300,RUR
1242466,Bahamas Mobile,9.1300,RUR
1242467,Bahamas Mobile,9.1300,RUR
1242468,Bahamas Mobile,9.1300,RUR
124247,Bahamas Mobile,9.1300,RUR
1242481,Bahamas Mobile,9.1300,RUR
1242524,Bahamas Mobile,9.1300,RUR
1242525,Bahamas Mobile,9.1300,RUR
1242533,Bahamas Mobile,9.1300,RUR
1242535,Bahamas Mobile,9.1300,RUR
1242544,Bahamas Mobile,9.1300,RUR
1242551,Bahamas Mobile,9.1300,RUR
1242552,Bahamas Mobile,9.1300,RUR
1242553,Bahamas Mobile,9.1300,RUR
1242554,Bahamas Mobile,9.1300,RUR
1242556,Bahamas Mobile,9.1300,RUR
1242557,Bahamas Mobile,9.1300,RUR
1242558,Bahamas Mobile,9.1300,RUR
1242559,Bahamas Mobile,9.1300,RUR
1242565,Bahamas Mobile,9.1300,RUR
1242577,Bahamas Mobile,9.1300,RUR
1242636,Bahamas Mobile,9.1300,RUR
1242646,Bahamas Mobile,9.1300,RUR
1242727,Bahamas Mobile,9.1300,RUR
1246530,Barbados Mobile,9.1300,RUR
1246531,Barbados Mobile,9.1300,RUR
1246532,Barbados Mobile,9.1300,RUR
1246533,Barbados Mobile,9.1300,RUR
1246534,Barbados Mobile,9.1300,RUR
124683,Barbados Mobile,9.1300,RUR
1250,Canada,4.5000,RUR
1264235,Anguilla Mobile,9.1300,RUR
1264469,Anguilla Mobile,9.1300,RUR
1264476,Anguilla Mobile,9.1300,RUR
1264536,Anguilla Mobile,9.1300,RUR
1264537,Anguilla Mobile,9.1300,RUR
1264538,Anguilla Mobile,9.1300,RUR
1264539,Anguilla Mobile,9.1300,RUR
1264543,Anguilla Mobile,9.1300,RUR
1264581,Anguilla Mobile,9.1300,RUR
1264582,Anguilla Mobile,9.1300,RUR
1264583,Anguilla Mobile,9.1300,RUR
1264584,Anguilla Mobile,9.1300,RUR
1264729,Anguilla Mobile,9.1300,RUR
1264772,Anguilla Mobile,9.1300,RUR
1268464,Antigua and Barbuda Mobile,9.1300,RUR
126872,Antigua and Barbuda Mobile,9.1300,RUR
1268732,Antigua and Barbuda Mobile,9.1300,RUR
1268734,Antigua and Barbuda Mobile,9.1300,RUR
1268736,Antigua and Barbuda Mobile,9.1300,RUR
1268764,Antigua and Barbuda Mobile,9.1300,RUR
1268770,Antigua and Barbuda Mobile,9.1300,RUR
1268771,Antigua and Barbuda Mobile,9.1300,RUR
1268772,Antigua and Barbuda Mobile,9.1300,RUR
1268773,Antigua and Barbuda Mobile,9.1300,RUR
1268774,Antigua and Barbuda Mobile,9.1300,RUR
1268775,Antigua and Barbuda Mobile,9.1300,RUR
1268776,Antigua and Barbuda Mobile,9.1300,RUR
1268778,Antigua and Barbuda Mobile,9.1300,RUR
1268779,Antigua and Barbuda Mobile,9.1300,RUR
126878,Antigua and Barbuda Mobile,9.1300,RUR
1284,Virgin Islands United Kingdom,9.1300,RUR
1284300,Virgin Islands United Kingdom,9.1300,RUR
1284340,Virgin Islands United Kingdom,9.1300,RUR
1284341,Virgin Islands United Kingdom,9.1300,RUR
1284342,Virgin Islands United Kingdom,9.1300,RUR
1284343,Virgin Islands United Kingdom,9.1300,RUR
1284344,Virgin Islands United Kingdom,9.1300,RUR
1284345,Virgin Islands United Kingdom,9.1300,RUR
1284346,Virgin Islands United Kingdom,9.1300,RUR
1284347,Virgin Islands United Kingdom,9.1300,RUR
1284441,Virgin Islands United Kingdom,9.1300,RUR
1284442,Virgin Islands United Kingdom,9.1300,RUR
1284443,Virgin Islands United Kingdom,9.1300,RUR
1284444,Virgin Islands United Kingdom,9.1300,RUR
1284445,Virgin Islands United Kingdom,9.1300,RUR
1284446,Virgin Islands United Kingdom,9.1300,RUR
12844960,Virgin Islands United Kingdom,9.1300,RUR
12844966,Virgin Islands United Kingdom,9.1300,RUR
12844967,Virgin Islands United Kingdom,9.1300,RUR
12844968,Virgin Islands United Kingdom,9.1300,RUR
12844969,Virgin Islands United Kingdom,9.1300,RUR
1284499,Virgin Islands United Kingdom,9.1300,RUR
1284540,Virgin Islands United Kingdom,9.1300,RUR
1284541,Virgin Islands United Kingdom,9.1300,RUR
1284542,Virgin Islands United Kingdom,9.1300,RUR
1284543,Virgin Islands United Kingdom,9.1300,RUR
1284544,Virgin Islands United Kingdom,9.1300,RUR
1284545,Virgin Islands United Kingdom,9.1300,RUR
1284546,Virgin Islands United Kingdom,9.1300,RUR
1284547,Virgin Islands United Kingdom,9.1300,RUR
1289,Canada,4.5000,RUR
1306,Canada,4.5000,RUR
1340,Virgin Islands United States,9.1300,RUR
1343,Canada,4.5000,RUR
1345,Cayman Islands,9.1300,RUR
1345229,Cayman Islands Mobile,9.1300,RUR
1345249,Cayman Islands Mobile,9.1300,RUR
1345516,Cayman Islands Mobile,9.1300,RUR
1345517,Cayman Islands Mobile,9.1300,RUR
1345525,Cayman Islands Mobile,9.1300,RUR
1345526,Cayman Islands Mobile,9.1300,RUR
1345527,Cayman Islands Mobile,9.1300,RUR
1345529,Cayman Islands Mobile,9.1300,RUR
1345546,Cayman Islands Mobile,9.1300,RUR
1345547,Cayman Islands Mobile,9.1300,RUR
1345548,Cayman Islands Mobile,9.1300,RUR
1345549,Cayman Islands Mobile,9.1300,RUR
1345616,Cayman Islands Mobile,9.1300,RUR
1345617,Cayman Islands Mobile,9.1300,RUR
1345623,Cayman Islands Mobile,9.1300,RUR
1345625,Cayman Islands Mobile,9.1300,RUR
1345629,Cayman Islands Mobile,9.1300,RUR
1345640,Cayman Islands Mobile,9.1300,RUR
1345645,Cayman Islands Mobile,9.1300,RUR
1345646,Cayman Islands Mobile,9.1300,RUR
1345647,Cayman Islands Mobile,9.1300,RUR
1345649,Cayman Islands Mobile,9.1300,RUR
1345916,Cayman Islands Mobile,9.1300,RUR
1345917,Cayman Islands Mobile,9.1300,RUR
1345919,Cayman Islands Mobile,9.1300,RUR
1345922,Cayman Islands Mobile,9.1300,RUR
1345923,Cayman Islands Mobile,9.1300,RUR
1345924,Cayman Islands Mobile,9.1300,RUR
1345925,Cayman Islands Mobile,9.1300,RUR
1345926,Cayman Islands Mobile,9.1300,RUR
1345927,Cayman Islands Mobile,9.1300,RUR
1345928,Cayman Islands Mobile,9.1300,RUR
1345929,Cayman Islands Mobile,9.1300,RUR
1345936,Cayman Islands Mobile,9.1300,RUR
1345937,Cayman Islands Mobile,9.1300,RUR
1345938,Cayman Islands Mobile,9.1300,RUR
1345939,Cayman Islands Mobile,9.1300,RUR
1345990,Cayman Islands Mobile,9.1300,RUR
1403,Canada,4.5000,RUR
1416,Canada,4.5000,RUR
